Id,CourseId,Name,Description,DueAt,Weighting
68,551529,Multi-component IoTdevelopment assignment.,Multi-component IoTdevelopment assignment.,14/05/2026 14:00:00,100
69,441101,Digital Portfolio Lab Book,Digital Portfolio Lab Book,23/03/2026 14:00:00,50
70,441101,Open Book Practical Exam,Open Book Practical Exam,13/01/2026 17:00:00,25
71,441101,Capstone Project,Capstone Project,22/05/2026 14:00:00,25
72,441105,Code/Report,Code/Report,17/11/2025 14:00:00,60
73,441105,Online Quiz,Online Quiz,09/01/2026 12:30:00,40
74,441108,Personal Portfolio (Portfolio),Personal Portfolio (Portfolio),15/12/2025 14:00:00,60
75,441108,Team Design Project (Portfolio of iterative design artefacts),Team Design Project (Portfolio of iterative design artefacts),15/12/2025 14:00:00,40
76,441104,Computer based assessment of concepts and their application,Computer based assessment of concepts and their application,11/05/2026 14:00:00,100
77,441102,"Weekly Lab Book on Architectures, Operating Systems and the Cloud","Weekly Lab Book on Architectures, Operating Systems and the Cloud",17/11/2025 14:00:00,50
78,441102,Cloud Hosted Group Project,Cloud Hosted Group Project,09/01/2026 14:00:00,50
